"Stn Name","CIMIS Region","Date","Hour","Jul","ETo (in)","qc","Precip (in)","Solar","Vap Pres (mBars)","T_out","RTP","Air Temp (F)","qc","Rel Hum (%)","qc","Dew Point (F)","qc","Wind Speed (mph)","qc","Wind Dir (0-360)","qc","Soil Temp (F)","qc"
"Pomona","Los Angeles Basin","12/1/2019",100,335,0," ",0,1,8.8,10.1666666666667,0.041480734,50.3," ",71," ",41.2," ",4.3," ",36," ",52.3," "
"Pomona","Los Angeles Basin","12/1/2019",200,335,0," ",0,2,8.6,9.27777777777778,0.041381156,48.7," ",73," ",40.5," ",4.3," ",35," ",52.3," "
"Pomona","Los Angeles Basin","12/1/2019",300,335,0," ",0,1,9.7,9.11111111111111,0.041045252,48.4," ",84," ",43.7," ",2," ",20," ",52.2," "
"Pomona","Los Angeles Basin","12/1/2019",400,335,0," ",0.06,1,8.9,8.5,0.041718274,47.3," ",80," ",41.4," ",2.1," ",332," ",52.2," "
"Pomona","Los Angeles Basin","12/1/2019",500,335,0," ",0,1,8.5,8.77777777777778,0.041647814,47.8," ",76," ",40.4," ",3.2," ",25," ",52.2," "
"Pomona","Los Angeles Basin","12/1/2019",600,335,0," ",0,1,8.7,8.22222222222222,0.042626378,46.8," ",79," ",40.8," ",4.2," ",16," ",52.3," "
"Pomona","Los Angeles Basin","12/1/2019",700,335,0," ",0,9,8.5,7.94444444444444,0.04329936,46.3," ",80," ",40.5," ",4.5," ",8," ",52.3," "
"Pomona","Los Angeles Basin","12/1/2019",800,335,0," ",0,128,8.8,8.27777777777778,0.042808484,46.9," ",80," ",41.1," ",5," ",31," ",52.4," "
"Pomona","Los Angeles Basin","12/1/2019",900,335,0," ",0,317,8.6,9.55555555555556,0.040008192,49.2," ",72," ",40.8," ",5.1," ",44," ",52.4," "
"Pomona","Los Angeles Basin","12/1/2019",1000,335,0," ",0,499,8.5,11.0555555555556,0.034516618,51.9," ",64," ",40.2," ",5.1," ",66," ",52.5," "
"Pomona","Los Angeles Basin","12/1/2019",1100,335,0.01," ",0,557,8.3,12.5,0.032537516,54.5," ",57," ",39.6," ",5," ",62," ",52.5," "
"Pomona","Los Angeles Basin","12/1/2019",1200,335,0.01," ",0,699,8.4,13.9444444444444,0.031255048,57.1," ",53," ",40," ",3.5," ",69," ",52.5," "
"Pomona","Los Angeles Basin","12/1/2019",1300,335,0.01," ",0,625,7.9,15.2222222222222,0.032771392,59.4," ",46," ",38.5," ",2.9," ",87," ",52.5," "
"Pomona","Los Angeles Basin","12/1/2019",1400,335,0.01," ",0,520,7.5,15.9444444444444,0.034004436,60.7," ",41," ",37," ",2.7," ",84," ",52.6," "
"Pomona","Los Angeles Basin","12/1/2019",1500,335,0," ",0,404,7.5,16.2777777777778,0.0373714,61.3," ",40," ",37.1," ",1.8," ",70," ",52.6," "
"Pomona","Los Angeles Basin","12/1/2019",1600,335,0," ",0,189,8.1,16,0.040147218,60.8," ",44," ",38.9," ",1.1," ",55," ",52.7," "
"Pomona","Los Angeles Basin","12/1/2019",1700,335,0,"R",0,29,9.8,13.3888888888889,0.047331012,56.1," ",63," ",43.9," ",1,"I",4," ",52.8," "
"Pomona","Los Angeles Basin","12/1/2019",1800,335,0," ",0,0,9.6,10.7777777777778,0.064438782,51.4," ",74," ",43.4," ",1," ",23," ",52.9," "
"Pomona","Los Angeles Basin","12/1/2019",1900,335,0,"R",0,0,9.6,9.66666666666667,0.056243298,49.4," ",80," ",43.6," ",1,"I",336," ",53," "
"Pomona","Los Angeles Basin","12/1/2019",2000,335,0,"R",0,1,9.5,8.94444444444445,0.053230252,48.1," ",83," ",43.1," ",1,"I",14," ",53," "
"Pomona","Los Angeles Basin","12/1/2019",2100,335,0,"R",0,2,9.5,8.5,0.05148045,47.3," ",86," ",43.2," ",1,"I",4," ",53.1," "
"Pomona","Los Angeles Basin","12/1/2019",2200,335,0," ",0,2,9.4,8.94444444444445,0.050791508,48.1," ",82," ",42.9," ",1.8," ",49," ",53.1," "
"Pomona","Los Angeles Basin","12/1/2019",2300,335,0," ",0,2,9,10.0555555555556,0.046200284,50.1," ",73," ",41.8," ",3.1," ",44," ",53.1," "
"Pomona","Los Angeles Basin","12/1/2019",2400,335,0," ",0.01,2,8.9,9.94444444444445,0.043006676,49.9," ",73," ",41.6," ",3.3," ",39," ",53.1," "
"Pomona","Los Angeles Basin","12/2/2019",100,336,0," ",0,2,8.5,10.0555555555556,0.037652584,50.1," ",68," ",40.2," ",2.3," ",43," ",53.1," "
"Pomona","Los Angeles Basin","12/2/2019",200,336,0," ",0,2,8.3,9.27777777777778,0.03769405,48.7," ",71," ",39.8," ",4.3," ",41," ",53.1," "
"Pomona","Los Angeles Basin","12/2/2019",300,336,0," ",0,2,8.1,9.5,0.037142812,49.1," ",68," ",39.2," ",3.6," ",49," ",53," "
"Pomona","Los Angeles Basin","12/2/2019",400,336,0," ",0,2,8,8.44444444444445,0.039111156,47.2," ",72," ",38.9," ",3.5," ",18," ",53," "
